Institution,Deutsche Übersetzung,Ort,Institutionstyp,Status,Land
Federal Polytechnic Kauran Namoda,,Kauran Namoda,Polytechnic,H -,Nigeria
Federal Polytechnic Mubi,,Mubi,Polytechnic,H -,Nigeria
Federal Polytechnic Nasarawa,,Nasarawa,Polytechnic,H -,Nigeria
Federal Polytechnic Nekede,,Nekede,Polytechnic,H -,Nigeria
Federal Polytechnic Offa,,Offa,Polytechnic,H -,Nigeria
Federal Polytechnic Oko,,Oko,Polytechnic,H -,Nigeria
Federal University Birnin Kebbi,,Birnin Kebbi,Federal University,H+,Nigeria
Federal University Dutse,,Dutse,Federal University,H+,Nigeria
Federal University Gashua,,Gashua,Federal University,H+,Nigeria
Federal University Gusau,,Gusau,Federal University,H+,Nigeria
Federal University Kashere,,Kashere,Federal University,H+,Nigeria
Federal University Lafia,,Lafia,Federal University,H+,Nigeria
Federal University Lokoja,,Lokoja,Federal University,H+,Nigeria
"Federal University of AgricultureFederal University of Technology, AbeokutaUniversity of LagosUniversity of Agriculture, Abeokuta",,Abeokuta,Federal University,H+,Nigeria
Federal University of Petroleum ResourcesPetroleum Training InstituteNigerian Federal Petroleum Engineering University,,Effurun,Federal University,H+,Nigeria
"Federal University of Technology, Akure",,Akure,Federal University,H+,Nigeria
"Federal University of Technology, Minna",,Minna,Federal University,H+,Nigeria
"Federal University of Technology, Owerri",,Owerri,Federal University,H+,Nigeria
Federal University Otuoke,,Otuoke,Federal University,H+,Nigeria
Federal University Oye-Ekiti,,Oye-Ekiti,Federal University,H+,Nigeria
Federal University Wukari,,Wukari,Federal University,H+,Nigeria
"Federal University, Dutsin-Ma",,Katsina,Federal University,H+,Nigeria
Fountain University,,Osogbo,Privatuniversität,H+,Nigeria
Godfrey Okoye University,,Ugwuomu-Nike,Privatuniversität,H+,Nigeria
Gombe State University,,Gombe,State University,H+,Nigeria
Gregory University,,Uturu,Privatuniversität,H+,Nigeria
Hallmark University,,Ijebu-Itele,Privatuniversität,H+,Nigeria
Havilla University,,Nde-Ikom,Privathochschule,H+,Nigeria
Heritage University,,,Status ungeklärt,H +/-,Nigeria
Hezekiah University,,Umudi,Privatuniversität,H+,Nigeria
Hussaini Adamu Federal PolytechnicHussaini Adamu Polytechnic,,Kazaure,Polytechnic,H -,Nigeria
Ibrahim Badamasi Babangida University,,Lapai,State University,H+,Nigeria
Igbinedion University,,Okada,Privatuniversität,H+,Nigeria
Ignatius Ajuru University of EducationRivers State University of EducationRivers State College of Education,,Rumuolumeni,State University,H+,Nigeria
Imo State University,,Owerri,State University,H+,Nigeria
Institute of Commerce of Nigeria,,Kosofe Ketu,Einrichtung ohne Hochschulrang,H -,Nigeria
James Hope University,,Lagos,Privathochschule,H+,Nigeria
Jigawa State PolytechnicJigawa Polytechnic,,,Einrichtung ohne Hochschulrang,H -,Nigeria
Joseph Ayo Babalola University,,Ikeji-Arakeji,Privatuniversität,H+,Nigeria
"Joseph Sarwuan Tarka University MakurdiFederal University of Agriculture, Makurdi (bis 2019)University of Agriculture, Makurdi",,Makurdi,Federal University,H+,Nigeria
Kaduna State University,,Kaduna,State University,H+,Nigeria
Kano University of Science and Technology,,Wudil,State University,H+,Nigeria
Katsina State University,,Katsina,Universität,H+,Nigeria
"Kebbi State University of Science and Technology, AlieroKebbi State University",,Kebbi,State University,H+,Nigeria
Kenule Beeson Saro-Wiwa PolytechnicRivers State Polytechnic,,,Einrichtung ohne Hochschulrang,H -,Nigeria
Khadija University,,Majia,Privathochschule,H+,Nigeria
Kings University,,Ode-Omu,Privatuniversität,H+,Nigeria
"Kola Daisi University Ibadan, Oyo State",,Ibadan,Privatuniversität,H+,Nigeria
Kwara State Polytechnic,,Ilorin,Polytechnic,H -,Nigeria
Kwara State University,,Ilorin,State University,H+,Nigeria
Kwararafa University,,Wukari,Privatuniversität,H+,Nigeria
Ladoke Akintola University of TechnologyOyo State University of Technology,,Ogbomoso,State University,H+,Nigeria
Lagos Business School,,Lagos,Privathochschule,H+,Nigeria
Lagos State University,,Lagos,State University,H+,Nigeria
Lagos State University,,Ojo,State University,H+,Nigeria
Landmark University,,Omu-Aran,Privatuniversität,H+,Nigeria
Lead City University,,Ibadan,Privatuniversität,H+,Nigeria
LIFE Theological SeminaryChrist-Life Theological Seminary,,,Einrichtung ohne Hochschulrang,H -,Nigeria
Madonna University,,Okija,Privatuniversität,H+,Nigeria
Maranatha University,,Mgbidi,Privathochschule,H+,Nigeria
Maryam Abacha American University Of Nigeria,,Kano,Privathochschule,H+,Nigeria
McPherson University,,Seriki Sotayo,Privatuniversität,H+,Nigeria
Mewar International University Nigeria,,Masaka,Privathochschule,H+,Nigeria
Michael and Cecilia Ibru University,,Ibru,Privatuniversität,H+,Nigeria
"Michael Okpara University of Agriculture UmudikeFederal University of Agriculture, Umudike",,Umudike,Federal University,H+,Nigeria
"Modibbo Adama University of Technology, YolaFederal University of Technology, Yola",,Yola,Federal University,H+,Nigeria
Mountain Top University,,Prayer City,Privatuniversität,H+,Nigeria
Mudiame University,,Ede,Privathochschule,H+,Nigeria
Nasarawa State University,,Keffi,State University,H+,Nigeria
National Missionary Seminary of St. Paul,,Abuja,Katholische Hochschule kanonischen Rechts,H+,Nigeria
National Open University of Nigeria,,Lagos,Federal University,H+,Nigeria
Niger Delta University,,Wilberforce Island,State University,H+,Nigeria
Nigeria Police AcademyThe Police Academy,,Wudil,Federal University,H+,Nigeria
Nigerian Army University Biu,,Biu,Federal University,H+,Nigeria
Nigerian College of Aviation Technology,,Zaria,Einrichtung ohne Hochschulrang,H -,Nigeria
Nigerian Defence Academy,,Kaduna,Federal University,H+,Nigeria
Nigerian Institute of Journalism,,,Einrichtung ohne Hochschulrang,H -,Nigeria
"Nile University of Nigeria, AbujaNigerian-Turkish Nile University",,Abuja,Privatuniversität,H+,Nigeria
Nnamdi Azikiwe University,,Awka,Federal University,H+,Nigeria
Nok University,,Kachia,Privathochschule,H+,Nigeria
Novena University,,Ogume,Privatuniversität,H+,Nigeria
Obafemi Awolowo UniversityUniversity of Ife (1962 - 1987),,Ile-Ife,Federal University,H+,Nigeria
Obong University,,Obong Ntak,Privatuniversität,H+,Nigeria
Oduduwa University,,Ipetumodu,Privatuniversität,H+,Nigeria
"Ogun State Institute of Technology, Igbesa",,Igbesa,Polytechnic,H -,Nigeria
Olabisi Onabanjo UniversityOgun State University,,Ago-Iwoye,State University,H+,Nigeria
Olusegun Agagu University of Science and TechnologyOndo State University of Science and Technology (2008 - 2019),,Okitipupa,State University,H+,Nigeria
Osun State University,,Osogbo,State University,H+,Nigeria
"Pan-Atlantic University, LagosPan-African University",,Lagos,Privatuniversität,H+,Nigeria
Paul University,,Awka,Privatuniversität,H+,Nigeria
Petroleum Training Institute,,,Polytechnic,H -,Nigeria
Philomath University,,Abuja,Privathochschule,H+,Nigeria
Plateau State University,,Bokkos,State University,H+,Nigeria
Prince Abubakar Audu UniversityPrince Audu UniversityKogi State University (bis 2023),,Anyigba,State University,H+,Nigeria
Public Service Institute of Nigeria,,,Einrichtung ohne Hochschulrang,H -,Nigeria
Redeemer's University,,Ikeja,Privathochschule,H+,Nigeria
Redeemer's University,,Ede,Privatuniversität,H+,Nigeria
Renaissance University,,Enugu,Privatuniversität,H+,Nigeria
Rhema University,,Obeama-Asa,Privatuniversität,H+,Nigeria
Ritman University,,Ikot Ekpene,Privatuniversität,H+,Nigeria
Rivers State University of Science and TechnologyCollege of Science and TechnologyRivers State College of Science & Technology,,Port Harcourt,State University,H+,Nigeria
Ronik Polytechnic,,Ejigbo,Einrichtung ohne Hochschulrang,H -,Nigeria
Saint Augustine's Major Seminary,,Jos,Katholische Hochschule kanonischen Rechts,H+,Nigeria
Saint Joseph's Major Seminary,,Akwa Ihom State,Katholische Hochschule kanonischen Rechts,H+,Nigeria
Saint Thomas Aquinas Major Seminary,,Makurdi,Katholische Hochschule kanonischen Rechts,H+,Nigeria
Salem University,,Lokoja,Privatuniversität,H+,Nigeria
Samuel Adegboyega University,,Ogwa,Privatuniversität,H+,Nigeria
Seat of Wisdom Seminary,,Owerri,Katholische Hochschule kanonischen Rechts,H+,Nigeria
Seminary of All Saints,,Ekpoma,Katholische Hochschule kanonischen Rechts,H+,Nigeria
Sokoto State University,,Sokoto,State University,H+,Nigeria
Southland University,,Abak Akwa,Status ungeklärt,H +/-,Nigeria
Southwestern University,,Okun Owa,Privatuniversität,H+,Nigeria
SS. Peter and Paul Major Seminary,,Ibadan,Katholische Hochschule kanonischen Rechts,H+,Nigeria
St. Paul Institute of Evangelisation,,Emene,Katholische Hochschule kanonischen Rechts,H+,Nigeria
