Institution,Deutsche Übersetzung,Ort,Institutionstyp,Status,Land
Meru Technical Training InstituteGitoro Technical (1956-1964)Meru Technical School,,Meru,Einrichtung ohne Hochschulrang,H -,Kenia
Meru University of Science and TechnologyMeru College of Technology (1979-2008)Meru University College of Science and Technology (2008-2013),,Meru,Staatliche Universität,H+,Kenia
Moi University,,Eldoret,Staatliche Universität,H+,Kenia
Mount Kenya UniversityMt Kenya UniversityMt. Kenya UniversityThika Institute of Technology,,Thika,Akkreditierte private Universität,H+,Kenia
Multimedia University of KenyaKenya College of Communications Technology (1992-2008)Multimedia University College of Kenya (2008-2013),,Nairobi,Staatliche Universität,H+,Kenia
Murang'a University of TechnologyMurang?a College of Technology (bis 2011)Murang'a University College,,Murang'a,Staatliche Universität,H+,Kenia
Pan Africa Christian UniversityPanafrica Christian UniversityPan African Christian UniversityPanafrican Christian UniversityPan Africa Christian College (1978-2008),,Nairobi,Akkreditierte private Universität,H+,Kenia
Pioneer International University,,Nairobi,"Private Universität im Akkreditierungsverfahren / ""Interim Authority""",H +/-,Kenia
Pwani UniversityKilifi Institute of Agriculture (1984-2007)Pwani University College (2007-2013),,Kilifi,Staatliche Universität,H+,Kenia
Regina Pacis University College,,Nairobi,An private Universität angeschlossenes College,H +/-,Kenia
Regional Institute of Business ManagementThe Regional Institute of Business Management,,Nairobi,Einrichtung ohne Hochschulrang,H -,Kenia
Riara University,,Nairobi,"Private Universität im Akkreditierungsverfahren / ""Interim Authority""",H +/-,Kenia
Rift Valley Institute of Science and Technology,,Nakuru,Polytechnic,H -,Kenia
Rongo UniversityRongo University College,,Rongo,Staatliche Universität,H+,Kenia
Saint Augustine's Senior Seminary,,Bungoma,Katholische Hochschule kanonischen Rechts,H+,Kenia
Saint Matthias Malumba,,Kapsabet,Katholische Hochschule kanonischen Rechts,H+,Kenia
Saint Thomas Aquinas Seminary,,Nairobi,Katholische Hochschule kanonischen Rechts,H+,Kenia
